date,division,cpi_index
2017-07-01,Food and Non-Alcoholic Beverages,104.32344671160399
2017-08-01,Food and Non-Alcoholic Beverages,104.96487548601847
2017-09-01,Food and Non-Alcoholic Beverages,106.08768062751246
2017-10-01,Food and Non-Alcoholic Beverages,106.3809938207119
2017-11-01,Food and Non-Alcoholic Beverages,105.56630673493372
2017-12-01,Food and Non-Alcoholic Beverages,104.43688446512859
2018-01-01,Food and Non-Alcoholic Beverages,103.87855461970206
2018-02-01,Food and Non-Alcoholic Beverages,104.33655828638817
2018-03-01,Food and Non-Alcoholic Beverages,104.80635073936713
2018-04-01,Food and Non-Alcoholic Beverages,105.54774785793379
2018-05-01,Food and Non-Alcoholic Beverages,106.71149099973304
2018-06-01,Food and Non-Alcoholic Beverages,104.1417213900405
2018-07-01,Food and Non-Alcoholic Beverages,101.37881348276242
2018-08-01,Food and Non-Alcoholic Beverages,101.79020982426508
2018-09-01,Food and Non-Alcoholic Beverages,104.02309146986882
2018-10-01,Food and Non-Alcoholic Beverages,103.47595130523892
2018-11-01,Food and Non-Alcoholic Beverages,102.79748766775307
2018-12-01,Food and Non-Alcoholic Beverages,101.42298987229596
2019-01-01,Food and Non-Alcoholic Beverages,101.39324873659416
2019-02-01,Food and Non-Alcoholic Beverages,100.5764504066184
2019-03-01,Food and Non-Alcoholic Beverages,101.81507672265714
2019-04-01,Food and Non-Alcoholic Beverages,104.01344105342879
2019-05-01,Food and Non-Alcoholic Beverages,106.22248081016167
2019-06-01,Food and Non-Alcoholic Beverages,104.7625230351604
2019-07-01,Food and Non-Alcoholic Beverages,103.9253652149866
2019-08-01,Food and Non-Alcoholic Beverages,104.0808098094715
2019-09-01,Food and Non-Alcoholic Beverages,105.74196816707108
2019-10-01,Food and Non-Alcoholic Beverages,106.11030217905595
2019-11-01,Food and Non-Alcoholic Beverages,106.43211006932609
2019-12-01,Food and Non-Alcoholic Beverages,106.2328175012169
2020-01-01,Food and Non-Alcoholic Beverages,107.35074872383414
2020-02-01,Food and Non-Alcoholic Beverages,107.70850262492614
2020-03-01,Food and Non-Alcoholic Beverages,106.77313414796035
2020-04-01,Food and Non-Alcoholic Beverages,110.0366995160737
2020-05-01,Food and Non-Alcoholic Beverages,111.33402246226395
2020-06-01,Food and Non-Alcoholic Beverages,108.26264019882746
2020-07-01,Food and Non-Alcoholic Beverages,105.70596781210712
2020-08-01,Food and Non-Alcoholic Beverages,106.14760095570757
2020-09-01,Food and Non-Alcoholic Beverages,105.76739481626448
2020-10-01,Food and Non-Alcoholic Beverages,105.99595332528777
2020-11-01,Food and Non-Alcoholic Beverages,104.13897425721068
2020-12-01,Food and Non-Alcoholic Beverages,103.84033743304953
2021-01-01,Food and Non-Alcoholic Beverages,104.29416137378942
2021-02-01,Food and Non-Alcoholic Beverages,105.48472337522627
2021-03-01,Food and Non-Alcoholic Beverages,107.18699709295379
2021-04-01,Food and Non-Alcoholic Beverages,107.88571212160862
2021-05-01,Food and Non-Alcoholic Beverages,107.43329574397661
2021-06-01,Food and Non-Alcoholic Beverages,106.57980217072055
2021-07-01,Food and Non-Alcoholic Beverages,106.42933368582345
2021-08-01,Food and Non-Alcoholic Beverages,107.57013224969026
2021-09-01,Food and Non-Alcoholic Beverages,108.83448011318875
2021-10-01,Food and Non-Alcoholic Beverages,109.23219946189951
2021-11-01,Food and Non-Alcoholic Beverages,108.958744578791
2021-12-01,Food and Non-Alcoholic Beverages,109.34741255113059
2022-01-01,Food and Non-Alcoholic Beverages,109.82764893611228
2022-02-01,Food and Non-Alcoholic Beverages,110.27783480759287
2022-03-01,Food and Non-Alcoholic Beverages,111.85327587200268
2022-04-01,Food and Non-Alcoholic Beverages,115.28082480641726
2022-05-01,Food and Non-Alcoholic Beverages,119.27862469390165
2022-06-01,Food and Non-Alcoholic Beverages,120.47727269882107
2022-07-01,Food and Non-Alcoholic Beverages,122.31474186286131
2022-08-01,Food and Non-Alcoholic Beverages,124.46432511870658
2022-09-01,Food and Non-Alcoholic Beverages,128.87991529641386
2022-10-01,Food and Non-Alcoholic Beverages,133.47034236930034
2022-11-01,Food and Non-Alcoholic Beverages,133.70027125183987
2022-12-01,Food and Non-Alcoholic Beverages,134.49256106663157
2023-01-01,Food and Non-Alcoholic Beverages,134.9874513697648
2023-02-01,Food and Non-Alcoholic Beverages,133.34025804622596
2023-03-01,Food and Non-Alcoholic Beverages,135.2258558221503
2023-04-01,Food and Non-Alcoholic Beverages,136.5352602863915
2023-05-01,Food and Non-Alcoholic Beverages,135.37798063631948
2023-06-01,Food and Non-Alcoholic Beverages,133.68269982932128
2023-07-01,Food and Non-Alcoholic Beverages,132.080253537437
2023-08-01,Food and Non-Alcoholic Beverages,134.02286231683388
2023-09-01,Food and Non-Alcoholic Beverages,135.45446057299273
2023-10-01,Food and Non-Alcoholic Beverages,136.99801303598178
2023-11-01,Food and Non-Alcoholic Beverages,136.52368395550823
2023-12-01,Food and Non-Alcoholic Beverages,134.68140386590605
2024-01-01,Food and Non-Alcoholic Beverages,134.97345812158264
2024-02-01,Food and Non-Alcoholic Beverages,133.97124383153022
2024-03-01,Food and Non-Alcoholic Beverages,134.54540095645046
2024-04-01,Food and Non-Alcoholic Beverages,135.4348558846227
2024-05-01,Food and Non-Alcoholic Beverages,134.19320046966413
2024-06-01,Food and Non-Alcoholic Beverages,133.1567522953109
2024-07-01,Food and Non-Alcoholic Beverages,132.32253059130775
