date,division,cpi_index,yoy_inflation_pct
2017-07-01,Headline (Grand Total),102.28391511657036,
2017-08-01,Headline (Grand Total),102.54297221882636,
2017-09-01,Headline (Grand Total),103.2125114776846,
2017-10-01,Headline (Grand Total),103.51145545502249,
2017-11-01,Headline (Grand Total),103.58478206581142,
2017-12-01,Headline (Grand Total),103.83570148135026,
2018-01-01,Headline (Grand Total),103.68797140845732,
2018-02-01,Headline (Grand Total),104.03006245673875,
2018-03-01,Headline (Grand Total),104.32732287263012,
2018-04-01,Headline (Grand Total),104.84004698149397,
2018-05-01,Headline (Grand Total),105.49991009161657,
2018-06-01,Headline (Grand Total),105.06293223675566,
2018-07-01,Headline (Grand Total),105.41828888092226,3.0643857939733232
2018-08-01,Headline (Grand Total),105.82032106192561,3.196073579869907
2018-09-01,Headline (Grand Total),106.53382345526465,3.2179354324675558
2018-10-01,Headline (Grand Total),106.4280950544283,2.817697409996467
2018-11-01,Headline (Grand Total),106.41729255144205,2.734485152298749
2018-12-01,Headline (Grand Total),106.25370103359307,2.328678400344897
2019-01-01,Headline (Grand Total),106.36164381188317,2.5785752841990472
2019-02-01,Headline (Grand Total),106.19210774270157,2.0782889435079444
2019-03-01,Headline (Grand Total),107.028433651355,2.5890732210416045
2019-04-01,Headline (Grand Total),107.38517509651453,2.4276296971421862
2019-05-01,Headline (Grand Total),107.72187492799041,2.1061296018586972
2019-06-01,Headline (Grand Total),107.3233748681979,2.151512986852877
2019-07-01,Headline (Grand Total),107.2697805818003,1.7563287362494018
2019-08-01,Headline (Grand Total),107.79099377031322,1.8622819214793251
2019-09-01,Headline (Grand Total),108.4587351579904,1.8068549877345408
2019-10-01,Headline (Grand Total),108.52560044113743,1.9708192518492762
2019-11-01,Headline (Grand Total),108.51446002752097,1.9707017776882108
2019-12-01,Headline (Grand Total),108.77207508722671,2.370151843310775
2020-01-01,Headline (Grand Total),109.12111025286382,2.594418760452011
2020-02-01,Headline (Grand Total),109.34000581407275,2.964342773003814
2020-03-01,Headline (Grand Total),109.2076448477063,2.036104913438308
2020-04-01,Headline (Grand Total),110.18703347922153,2.6091668428056103
2020-05-01,Headline (Grand Total),110.58106743056192,2.654235738546884
2020-06-01,Headline (Grand Total),110.94713759481999,3.376489726559906
2020-07-01,Headline (Grand Total),110.7430677711273,3.2378990340885316
2020-08-01,Headline (Grand Total),110.99647596746617,2.9737940852306854
2020-09-01,Headline (Grand Total),111.33573306423071,2.652619820846547
2020-10-01,Headline (Grand Total),111.81295228223223,3.0291026520307573
2020-11-01,Headline (Grand Total),111.23864134486327,2.5104316204968447
2020-12-01,Headline (Grand Total),111.44244143792007,2.45501094702103
2021-01-01,Headline (Grand Total),111.30949732367691,2.00546628030267
2021-02-01,Headline (Grand Total),111.84558495945438,2.291548392307785
2021-03-01,Headline (Grand Total),112.17148684288642,2.713951023587491
2021-04-01,Headline (Grand Total),112.49424345946665,2.0939033454242084
2021-05-01,Headline (Grand Total),112.66774353230562,1.8870102723994808
2021-06-01,Headline (Grand Total),113.14308445463632,1.979273109177404
2021-07-01,Headline (Grand Total),113.10048137244225,2.1287234034251368
2021-08-01,Headline (Grand Total),113.06379181599249,1.862505841295592
2021-09-01,Headline (Grand Total),113.73520885577828,2.15517132326537
2021-10-01,Headline (Grand Total),113.92818841152044,1.891763061536067
2021-11-01,Headline (Grand Total),114.13373469223122,2.602596824598513
2021-12-01,Headline (Grand Total),114.6520844337479,2.8800903447685045
2022-01-01,Headline (Grand Total),114.29872210959509,2.685507398551823
2022-02-01,Headline (Grand Total),115.41859406121301,3.194591099017363
2022-03-01,Headline (Grand Total),116.37670992653587,3.7489233690371826
2022-04-01,Headline (Grand Total),117.97752689142716,4.874279130501669
2022-05-01,Headline (Grand Total),119.72445540542479,6.263293869106179
2022-06-01,Headline (Grand Total),120.88250917453117,6.840386893463113
2022-07-01,Headline (Grand Total),122.03627889061478,7.9007599346520685
2022-08-01,Headline (Grand Total),123.24353072904623,9.003535746988668
2022-09-01,Headline (Grand Total),125.10202610329688,9.994105925397534
2022-10-01,Headline (Grand Total),126.13083369408952,10.710821836727401
2022-11-01,Headline (Grand Total),126.2136556355559,10.584005663092455
2022-12-01,Headline (Grand Total),126.38398885651827,10.23261328454057
2023-01-01,Headline (Grand Total),126.19160728548135,10.40509023756433
2023-02-01,Headline (Grand Total),126.04309300495795,9.20518832356436
2023-03-01,Headline (Grand Total),126.86679743866817,9.013906234979752
2023-04-01,Headline (Grand Total),127.46711087984401,8.043552224272311
2023-05-01,Headline (Grand Total),127.12840644465746,6.184159296578584
2023-06-01,Headline (Grand Total),126.7942056138964,4.890448154769755
2023-07-01,Headline (Grand Total),126.76068780803445,3.8713151206899
2023-08-01,Headline (Grand Total),127.51285923116089,3.4641400460206473
2023-09-01,Headline (Grand Total),128.45665048587617,2.68151083325332
2023-10-01,Headline (Grand Total),129.20271519311828,2.4354722862445666
