date,centre,cpi_index
2017-07-01,National (composite),102.28391511657037
2017-08-01,National (composite),102.54297221882638
2017-09-01,National (composite),103.21251147768461
2017-10-01,National (composite),103.51145545502249
2017-11-01,National (composite),103.58478206581144
2017-12-01,National (composite),103.83570148135023
2018-01-01,National (composite),103.6879714084573
2018-02-01,National (composite),104.03006245673875
2018-03-01,National (composite),104.3273228726301
2018-04-01,National (composite),104.84004698149394
2018-05-01,National (composite),105.4999100916166
2018-06-01,National (composite),105.06293223675567
2018-07-01,National (composite),105.41828888092229
2018-08-01,National (composite),105.82032106192563
2018-09-01,National (composite),106.53382345526467
2018-10-01,National (composite),106.42809505442833
2018-11-01,National (composite),106.41729255144206
2018-12-01,National (composite),106.25370103359309
2019-01-01,National (composite),106.36164381188317
2019-02-01,National (composite),106.19210774270157
2019-03-01,National (composite),107.02843365135502
2019-04-01,National (composite),107.38517509651454
2019-05-01,National (composite),107.72187492799043
2019-06-01,National (composite),107.32337486819794
2019-07-01,National (composite),107.26978058180032
2019-08-01,National (composite),107.79099377031322
2019-09-01,National (composite),108.45873515799042
2019-10-01,National (composite),108.52560044113747
2019-11-01,National (composite),108.51446002752101
2019-12-01,National (composite),108.77207508722672
2020-01-01,National (composite),109.1211102528638
2020-02-01,National (composite),109.34000581407277
2020-03-01,National (composite),109.20764484770629
2020-04-01,National (composite),110.18703347922153
2020-05-01,National (composite),110.58106743056192
2020-06-01,National (composite),110.94713759481999
2020-07-01,National (composite),110.74306777112733
2020-08-01,National (composite),110.99647596746618
2020-09-01,National (composite),111.33573306423072
2020-10-01,National (composite),111.81295228223225
2020-11-01,National (composite),111.23864134486327
2020-12-01,National (composite),111.44244143792005
2021-01-01,National (composite),111.3094973236769
2021-02-01,National (composite),111.84558495945441
2021-03-01,National (composite),112.17148684288644
2021-04-01,National (composite),112.49424345946665
2021-05-01,National (composite),112.66774353230565
2021-06-01,National (composite),113.14308445463637
2021-07-01,National (composite),113.1004813724423
2021-08-01,National (composite),113.0637918159925
2021-09-01,National (composite),113.73520885577834
2021-10-01,National (composite),113.92818841152044
2021-11-01,National (composite),114.13373469223126
2021-12-01,National (composite),114.65208443374793
2022-01-01,National (composite),114.29872210959515
2022-02-01,National (composite),115.41859406121303
2022-03-01,National (composite),116.3767099265359
2022-04-01,National (composite),117.97752689142717
2022-05-01,National (composite),119.72445540542479
2022-06-01,National (composite),120.88250917453114
2022-07-01,National (composite),122.0362788906148
2022-08-01,National (composite),123.24353072904627
2022-09-01,National (composite),125.10202610329692
2022-10-01,National (composite),126.13083369408957
2022-11-01,National (composite),126.21365563555594
2022-12-01,National (composite),126.3839888565183
2023-01-01,National (composite),126.19160728548137
2023-02-01,National (composite),126.04309300495798
2023-03-01,National (composite),126.8667974386682
2023-04-01,National (composite),127.46711087984406
2023-05-01,National (composite),127.12840644465746
2023-06-01,National (composite),126.7942056138964
2023-07-01,National (composite),126.76068780803445
2023-08-01,National (composite),127.51285923116093
2023-09-01,National (composite),128.45665048587617
2023-10-01,National (composite),129.20271519311828
2023-11-01,National (composite),129.50316828674084
2023-12-01,National (composite),129.67235286666957
2024-01-01,National (composite),129.70828378912393
2024-02-01,National (composite),130.36792441099684
2024-03-01,National (composite),131.0343384867543
2024-04-01,National (composite),131.5305739605117
2024-05-01,National (composite),131.727872827432
2024-06-01,National (composite),131.77192313990028
2024-07-01,National (composite),131.77650511474374
2024-08-01,National (composite),132.01611475809196
2024-09-01,National (composite),132.3406726577671
2024-10-01,National (composite),133.00661181259346
2024-11-01,National (composite),133.30927235509546
2024-12-01,National (composite),133.9121895074979
2025-01-01,National (composite),134.32648531488388
2025-02-01,National (composite),135.18608983372744
2025-03-01,National (composite),135.43100670149894
2025-04-01,National (composite),136.0923787203605
2025-05-01,National (composite),136.76633215998467
2025-06-01,National (composite),136.90001763705735
2025-07-01,National (composite),136.72506029812993
2025-08-01,National (composite),136.9713655376713
2025-09-01,National (composite),137.6104434632426
2025-10-01,National (composite),137.58553042199202
2025-11-01,National (composite),137.46496842763608
2025-12-01,National (composite),138.10933818139782
2026-01-01,National (composite),138.57677305941496
2026-02-01,National (composite),139.06047410492033
2026-03-01,National (composite),139.23423820723173
2026-04-01,National (composite),140.12864045761998
2026-05-01,National (composite),141.09013761842618
2026-06-01,National (composite),141.96890594098193
2026-07-01,National (composite),142.24500697551434
2026-08-01,National (composite),142.63845824429828
2017-07-01,Kampala High Income,101.63019323770396
2017-08-01,Kampala High Income,102.25643815134265
2017-09-01,Kampala High Income,103.02885984319585
2017-10-01,Kampala High Income,103.39487707852679
2017-11-01,Kampala High Income,103.5758076139106
2017-12-01,Kampala High Income,104.12531077202718
2018-01-01,Kampala High Income,103.68718159961873
2018-02-01,Kampala High Income,103.69438385018012
2018-03-01,Kampala High Income,104.04287725568953
2018-04-01,Kampala High Income,104.28102264042023
2018-05-01,Kampala High Income,104.7417219233374
2018-06-01,Kampala High Income,104.38362079097489
2018-07-01,Kampala High Income,105.63642691417321
2018-08-01,Kampala High Income,106.5614095042788
2018-09-01,Kampala High Income,106.8264049829333
2018-10-01,Kampala High Income,106.79954256829583
2018-11-01,Kampala High Income,106.90201490136504
2018-12-01,Kampala High Income,107.28149704798753
2019-01-01,Kampala High Income,107.07561939634763
2019-02-01,Kampala High Income,107.10306507955652
2019-03-01,Kampala High Income,108.0198519672404
2019-04-01,Kampala High Income,107.88889808605768
2019-05-01,Kampala High Income,107.8411560140161
2019-06-01,Kampala High Income,107.85522971782437
2019-07-01,Kampala High Income,107.93446997675633
2019-08-01,Kampala High Income,108.69223971939695
2019-09-01,Kampala High Income,108.92504021220202
2019-10-01,Kampala High Income,108.89076141950568
2019-11-01,Kampala High Income,108.65279026717664
2019-12-01,Kampala High Income,109.13737311073132
2020-01-01,Kampala High Income,109.0942697728521
2020-02-01,Kampala High Income,109.2657678364071
2020-03-01,Kampala High Income,109.50604667392616
2020-04-01,Kampala High Income,110.05049635045984
2020-05-01,Kampala High Income,110.36559340556632
2020-06-01,Kampala High Income,110.74814897986249
2020-07-01,Kampala High Income,111.21318578243259
2020-08-01,Kampala High Income,111.01526061793247
2020-09-01,Kampala High Income,111.38609819138983
2020-10-01,Kampala High Income,111.84222636401164
2020-11-01,Kampala High Income,111.71052355504204
2020-12-01,Kampala High Income,112.29282674662143
2021-01-01,Kampala High Income,112.0138239643448
2021-02-01,Kampala High Income,112.38174318987039
2021-03-01,Kampala High Income,112.93197575505633
2021-04-01,Kampala High Income,112.98253266379604
2021-05-01,Kampala High Income,113.78640425219021
2021-06-01,Kampala High Income,114.03639092140087
2021-07-01,Kampala High Income,114.10555616913499
2021-08-01,Kampala High Income,114.15936441592673
2021-09-01,Kampala High Income,114.7945799064283
2021-10-01,Kampala High Income,114.70650787431514
2021-11-01,Kampala High Income,115.0777256070904
2021-12-01,Kampala High Income,115.96174489632595
2022-01-01,Kampala High Income,115.47404859685633
2022-02-01,Kampala High Income,117.0527355437642
2022-03-01,Kampala High Income,117.45548462639029
2022-04-01,Kampala High Income,118.43214015170769
2022-05-01,Kampala High Income,119.6226451462424
2022-06-01,Kampala High Income,120.49232383346589
2022-07-01,Kampala High Income,121.88391904243522
2022-08-01,Kampala High Income,122.89133355275393
2022-09-01,Kampala High Income,124.2824006798545
2022-10-01,Kampala High Income,125.16029199287124
2022-11-01,Kampala High Income,125.56087078224253
2022-12-01,Kampala High Income,125.91322673669497
2023-01-01,Kampala High Income,125.20952717831233
2023-02-01,Kampala High Income,124.97919032923917
2023-03-01,Kampala High Income,125.96275458251148
2023-04-01,Kampala High Income,126.17907853903762
2023-05-01,Kampala High Income,126.05041918821252
2023-06-01,Kampala High Income,125.68061967282122
2023-07-01,Kampala High Income,125.35838994767744
2023-08-01,Kampala High Income,125.97449475156368
2023-09-01,Kampala High Income,126.80454829384267
2023-10-01,Kampala High Income,127.45028673240066
2023-11-01,Kampala High Income,128.43725057928296
2023-12-01,Kampala High Income,129.19524913232752
2024-01-01,Kampala High Income,129.22342174235092
2024-02-01,Kampala High Income,130.4228917195797
2024-03-01,Kampala High Income,131.31214943700292
2024-04-01,Kampala High Income,131.88167071137474
2024-05-01,Kampala High Income,131.8111328322678
2024-06-01,Kampala High Income,132.19905676187278
2024-07-01,Kampala High Income,132.0918271001104
2024-08-01,Kampala High Income,132.0422009795696
2024-09-01,Kampala High Income,131.8544436653757
2024-10-01,Kampala High Income,133.06246527081714
2024-11-01,Kampala High Income,133.66278172316072
2024-12-01,Kampala High Income,134.5236248179918
2025-01-01,Kampala High Income,135.3971326233895
2025-02-01,Kampala High Income,136.71259867531862
2025-03-01,Kampala High Income,136.8982077900015
2025-04-01,Kampala High Income,137.23599922916821
2025-05-01,Kampala High Income,138.11761007113594
2025-06-01,Kampala High Income,138.48742417409974
2025-07-01,Kampala High Income,138.5165150213732
2025-08-01,Kampala High Income,139.034193388292
2025-09-01,Kampala High Income,139.4028547715419
2025-10-01,Kampala High Income,139.5680390655786
2025-11-01,Kampala High Income,139.5599461233238
2025-12-01,Kampala High Income,140.19731228688562
2026-01-01,Kampala High Income,140.83976119556968
2026-02-01,Kampala High Income,141.43032143556434
2026-03-01,Kampala High Income,141.48186308940603
2026-04-01,Kampala High Income,142.39310912217272
2026-05-01,Kampala High Income,143.49836683362108
2026-06-01,Kampala High Income,145.05787537144323
2026-07-01,Kampala High Income,145.45135104813326
2026-08-01,Kampala High Income,145.82465835611254
2017-07-01,Kampala Middle Income,101.64352990531732
2017-08-01,Kampala Middle Income,101.86721631452319
2017-09-01,Kampala Middle Income,101.9456369398628
2017-10-01,Kampala Middle Income,102.5966329672798
2017-11-01,Kampala Middle Income,102.65295779801156
2017-12-01,Kampala Middle Income,102.25148238758655
2018-01-01,Kampala Middle Income,102.46407320512269
2018-02-01,Kampala Middle Income,102.89696627736765
2018-03-01,Kampala Middle Income,103.32220044870579
2018-04-01,Kampala Middle Income,103.67200390825735
2018-05-01,Kampala Middle Income,104.47785349016065
2018-06-01,Kampala Middle Income,103.80748923344018
2018-07-01,Kampala Middle Income,104.32216254032203
2018-08-01,Kampala Middle Income,104.67857370314078
2018-09-01,Kampala Middle Income,105.76571481973836
2018-10-01,Kampala Middle Income,105.8284662202927
2018-11-01,Kampala Middle Income,106.0144887692467
2018-12-01,Kampala Middle Income,105.98857521972482
2019-01-01,Kampala Middle Income,105.35491963107994
2019-02-01,Kampala Middle Income,104.82876535081427
2019-03-01,Kampala Middle Income,105.24282389112022
